Variable_Name,Data_Type,Type_Precision,Storage_Size,Number_of_Elements,DataType_Size,Number_of_Attributes,Storage_Layout,Fill_Value_Definition,Fill_Value,Min_Value,Max_Value,User_Time,System_Time,Elapsed_Time,CPU_Usage,Energy_Joules,Nano_Seconds,FileSize_in_Folder_Before,FileSize_in_Folder_After,Compressor,Array_Dimension,DM1,DM2,DM3,DM4
lim_p1_n3n,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,0.960559,0.06,0.07,0:00.14,93,116.15,160,55486049,15472220,lz4,4,31,31,82,88
lim_p1_n4n,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,0.591277,0.02,0.07,0:00.10,94,119.26,114,55486049,55487804,NONE,4,31,31,82,88
lim_p1_n4n,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,0.591277,0.18,0.05,0:00.26,93,124.25,272,55486049,18127005,blosc,4,31,31,82,88
lim_p1_n4n,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,0.591277,8.31,0.42,0:08.75,99,1054.2,8764,55486049,14059307,mafisc,4,31,31,82,88
lim_p1_n4n,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,0.591277,0.07,0.07,0:00.15,90,118.5,166,55486049,15585399,lz4,4,31,31,82,88
lim_p1_n5s,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,0.996175,0,0.09,0:00.10,92,122.86,116,55486050,55487804,NONE,4,31,31,82,88
lim_p1_n5s,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,0.996175,0.16,0.06,0:00.24,94,111.91,254,55486050,17340309,blosc,4,31,31,82,88
lim_p1_n5s,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,0.996175,8.04,0.52,0:08.58,99,1046.13,8593,55486050,13032825,mafisc,4,31,31,82,88
lim_p1_n5s,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,0.996175,0.05,0.07,0:00.13,92,116.43,150,55486050,15454863,lz4,4,31,31,82,88
lim_p2_n1p,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,0.993655,0.01,0.08,0:00.39,24,124.66,404,55486053,55487804,NONE,4,31,31,82,88
lim_p2_n1p,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,0.993655,0.17,0.06,0:00.25,93,119.35,265,55486053,17084156,blosc,4,31,31,82,88
lim_p2_n1p,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,0.993655,7.8,0.49,0:08.33,99,1039.7,8346,55486053,12625237,mafisc,4,31,31,82,88
lim_p2_n1p,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,0.993655,0.06,0.07,0:00.15,92,110.4,165,55486053,15477920,lz4,4,31,31,82,88
lim_p2_n3n,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,0.955154,0.01,0.07,0:00.09,93,121.92,109,55486053,55487804,NONE,4,31,31,82,88
lim_p2_n3n,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,0.955154,0.19,0.03,0:00.24,94,119.97,261,55486053,17711127,blosc,4,31,31,82,88
lim_p2_n3n,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,0.955154,8.22,0.57,0:08.82,99,1062.24,8833,55486053,13667713,mafisc,4,31,31,82,88
lim_p2_n3n,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,0.955154,0.06,0.06,0:00.13,92,116.12,150,55486053,15528290,lz4,4,31,31,82,88
lim_p2_n4n,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,0.935343,0.01,0.07,0:00.09,93,126.06,109,55486053,55487804,NONE,4,31,31,82,88
lim_p2_n4n,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,0.935343,0.18,0.06,0:00.25,94,119.26,271,55486053,18006278,blosc,4,31,31,82,88
lim_p2_n4n,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,0.935343,8.23,0.49,0:08.74,99,1057.37,8757,55486053,13898425,mafisc,4,31,31,82,88
lim_p2_n4n,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,0.935343,0.06,0.07,0:00.15,91,112.36,160,55486053,15553025,lz4,4,31,31,82,88
longitude,FLOAT,32,352,88,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,-15.083333,13.916667,0,0,0:00.01,73,133.24,29,10967,11007,NONE,1,88,,,
longitude,FLOAT,32,352,88,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,-15.083333,13.916667,0.01,0.01,0:00.03,67,110.09,50,10967,11055,blosc,1,88,,,
longitude,FLOAT,32,352,88,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,-15.083333,13.916667,0.01,0.01,0:00.03,66,112.57,45,10967,11084,mafisc,1,88,,,
longitude,FLOAT,32,352,88,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,-15.083333,13.916667,0.01,0,0:00.02,64,113.68,40,10967,11084,lz4,1,88,,,
n1p,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0.18939,7.97179,0.02,0.07,0:00.10,95,114.36,112,55486037,55487804,NONE,4,31,31,82,88
n1p,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0.18939,7.97179,0.21,0.05,0:00.28,94,111.61,296,55486037,21030847,blosc,4,31,31,82,88
n1p,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0.18939,7.97179,9.32,0.46,0:09.80,99,1164.23,9815,55486037,16468819,mafisc,4,31,31,82,88
n1p,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0.18939,7.97179,0.07,0.07,0:00.16,92,119.52,175,55486037,19064359,lz4,4,31,31,82,88
n3n,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0.143275,196.364543,0.02,0.07,0:00.10,92,132.39,117,55486035,55487804,NONE,4,31,31,82,88
n3n,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0.143275,196.364543,0.2,0.06,0:00.28,95,117.77,298,55486035,21043037,blosc,4,31,31,82,88
n3n,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0.143275,196.364543,9.55,0.51,0:10.08,99,1270.16,10098,55486035,16464947,mafisc,4,31,31,82,88
n3n,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0.143275,196.364543,0.08,0.06,0:00.15,93,117.61,166,55486035,19090746,lz4,4,31,31,82,88
