Variable_Name,Data_Type,Type_Precision,Storage_Size,Number_of_Elements,DataType_Size,Number_of_Attributes,Storage_Layout,Fill_Value_Definition,Fill_Value,Min_Value,Max_Value,User_Time,System_Time,Elapsed_Time,CPU_Usage,Energy_Joules,Nano_Seconds,FileSize_in_Folder_Before,FileSize_in_Folder_After,Compressor,Array_Dimension,DM1,DM2,DM3,DM4
az0l,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,20.013189,72.36,0.03,1:12.43,99,8581.07,72462,9160654,2286474,zstd-22,3,124,96,192,
az0w,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,1.5E-05,0.004741,0.72,0.02,0:00.75,98,133.36,763,9160655,6019762,zstd,3,124,96,192,
az0w,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,1.5E-05,0.004741,1.36,0.01,0:01.39,99,227.77,1402,9160655,5911050,zstd-11,3,124,96,192,
az0w,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,1.5E-05,0.004741,10.44,0.03,0:10.49,99,1296.05,10508,9160655,5903531,zstd-22,3,124,96,192,
barefrac,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,1,0.12,0.01,0:00.14,93,111.32,156,9160606,925172,zstd,3,124,96,192,
barefrac,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,1,0.47,0.01,0:00.50,97,112.31,511,9160606,915398,zstd-11,3,124,96,192,
barefrac,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,1,22.2,0.02,0:22.24,99,2698.02,22252,9160606,901789,zstd-22,3,124,96,192,
dew2,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,213.470139,301.992432,0.2,0.01,0:00.22,96,126.26,234,9160652,7469684,zstd,3,124,96,192,
dew2,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,213.470139,301.992432,0.61,0.02,0:00.64,98,111.79,660,9160652,7469932,zstd-11,3,124,96,192,
dew2,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,213.470139,301.992432,7.15,0.01,0:07.18,99,930.56,7196,9160652,7221725,zstd-22,3,124,96,192,
drain,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,2.8E-05,0.09,0.01,0:00.11,93,117.9,128,9160643,528087,zstd,3,124,96,192,
drain,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,2.8E-05,0.44,0.03,0:00.50,97,111.24,511,9160643,482322,zstd-11,3,124,96,192,
drain,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,2.8E-05,77.59,0.01,1:17.63,99,9195.6,77664,9160643,466418,zstd-22,3,124,96,192,
evap,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,-0.000346,8.4E-05,0.2,0.02,0:00.22,96,116.39,240,9160646,8601045,zstd,3,124,96,192,
evap,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,-0.000346,8.4E-05,0.38,0.01,0:00.41,97,113.48,425,9160646,8601056,zstd-11,3,124,96,192,
